Variable,Media,Mediana,Mínimo,Máximo,Desv. Est.,Asimetría,Curtosis,Obs.
exports,15.95,16.14,0,22.16,3.29,-1.02,3.35,780
imports,14.52,16.68,0,22.73,6.18,-1.23,0.58,780
tgdp,25.27,24.94,23.43,30.7,1.5,1.55,2.33,780
rfe,0.97,0.82,0,3.18,0.7,1.26,1.18,780
sim,0.26,0.29,0,0.5,0.18,-0.07,-1.58,780
dist,7.69,8.05,5.2,8.79,0.9,-1.13,0.62,780
rer,-0.15,1,-7.23,2.7,2.53,-1.12,0.2,780
cont,0.13,0,0,1,0.34,2.15,2.64,780
lang,0.53,1,0,1,0.5,-0.13,-1.98,780
ccol,0.53,1,0,1,0.5,-0.13,-1.98,780
crel,0.66,0.81,0.07,0.91,0.28,-0.79,-0.96,780
rta,0.25,0,0,1,0.43,1.18,-0.62,780
