year,partner_iso,gdp,gdp_pcap,population,exchange,deflator
1995,ARG,258031750000,7408.70866363112,34828168,0.99975,61.0539262799835
1996,ARG,272149750000,7721.35410460355,35246376,0.9996625,61.0219489829064
1997,ARG,292859000000,8213.12512693705,35657438,0.9995,60.7388601486823
1998,ARG,298948250000,8289.5075682025,36063451,0.9995,59.7030927427165
1999,ARG,283523000000,7774.73620280001,36467218,0.9995,58.6066105825432
2000,ARG,284203750000,7708.09911454041,36870796,0.9995,59.214529394292
2001,ARG,268696750000,7208.37311355372,37275644,0.9995,58.5656756966243
2002,ARG,97724004251.8602,2593.404563368,37681743,3.06325666666667,76.4605374112749
2003,ARG,127586973492.177,3349.80630031036,38087866,2.90062916666667,84.4856083466432
2004,ARG,164657930452.787,4277.72157290954,38491970,2.92330081890332,99.9999998969317
2005,ARG,198737095012.282,5109.85224490403,38892924,2.9036575,110.317511084538
2006,ARG,232557260817.308,5919.01233837714,39289876,3.05431333333333,125.47629818382
2007,ARG,287530508430.568,7245.44685667197,39684303,3.09564884920635,144.222363056105
2008,ARG,361558037110.419,9020.87332314274,40080159,3.14416455988456,177.640364739783
2009,ARG,332976484577.619,8225.13758261645,40482786,3.71010683052328,204.957277170641
2010,ARG,423627422092.49,10385.9644319555,40788453,3.8962951544705,247.824346395484
2011,ARG,530163281574.658,12848.8641969705,41261490,4.11013957621326,306.567321408416
2012,ARG,545982375701.128,13082.664325572,41733271,4.53693436018746,374.977453364052
2013,ARG,552025140252.246,13080.2547323367,42202935,5.45935266465704,464.780047776689
2014,ARG,526319673731.638,12334.7982453893,42669500,8.07527599281334,652.007262571679
2015,ARG,594749285413.212,13789.060424772,43131966,9.23318552472429,825.310738210731
2016,ARG,557531376217.967,12790.2424732447,43590368,14.7581750873396,1164.67339673925
2017,ARG,643628665302.155,14613.041824658,44044811,16.5627069251411,1467.56277769074
2018,ARG,524819742918.669,11795.1593866287,44494502,28.0949916666667,2084.4332574088
2019,ARG,451932356085.842,10056.637940265,44938712,48.1478916666667,3145.85791166458
2020,ARG,389288056265.325,8579.01777315683,45376763,70.5391666666667,4400.77893126117
1995,BHS,3429000000,12238.6046063409,280179,1,44.24310783924
1996,BHS,3609000000,12708.6414536235,283980,1,44.6785677875944
1997,BHS,6332360000,22036.1006810202,287363,1,73.3497816543304
1998,BHS,6833220000,23514.1775636614,290600,1,82.8841745205779
1999,BHS,7683870000,26130.0129564073,294063,1,83.0697629163559
2000,BHS,8076470000,27098.1563186767,298045,1,83.8355979530191
2001,BHS,8317830000,27486.2367737544,302618,1,84.1323609734388
2002,BHS,8881160000,28867.0824977166,307657,1,87.4646444750837
2003,BHS,8870090000,28327.8136706662,313123,1,88.474405521864
2004,BHS,9055290000,28396.0137099278,318893,1,89.5313473269989
2005,BHS,9836200000,30279.3922080481,324848,1,94.0588094668898
2006,BHS,10167250000,30713.7980618188,331032,1,94.8375572490602
2007,BHS,10618340000,31472.2855356015,337387,1,97.6327258684419
2008,BHS,10526000000,30627.3277467412,343680,1,99.0859541941618
2009,BHS,9981960000,28552.5171624714,349600,1,98.0594331745174
2010,BHS,10095760000,28443.8884756689,354936,1,97.6747515987655
2011,BHS,10070450000,28005.9124040903,359583,1,96.8359055723833
2012,BHS,10720500000,29485.8642228279,363581,1,99.9998134418853
2013,BHS,10494600000,28583.0232976179,367162,1,101.531397568378
2014,BHS,11142900000,30065.1602023609,370625,1,105.3919389529
2015,BHS,11890600000,31776.0555852485,374200,1,110.703944734613
2016,BHS,11992600000,31732.9191396131,377923,1,111.551909691378
2017,BHS,12359700000,32376.5091722572,381749,1,113.128227001508
2018,BHS,12837800000,33290.028135413,385635,1,114.340425910917
2019,BHS,13164400000,33799.4176940891,389486,1,116.431419962022
2020,BHS,9907500000,25194.0251444381,393248,1,102.503962555403
1995,BRB,2216974096.35559,8335.89929257052,265955,2,62.4334920190423
1996,BRB,2363645403.47039,8851.04645800324,267047,2,64.018314031780207
1997,BRB,2498384129.66738,9315.96756568231,268183,2,64.6052969915145
1998,BRB,2817083478.34734,10459.4424704914,269334,2,70.2280614774418
1999,BRB,2951822204.54432,10914.2822448996,270455,2,73.3415688696726
2000,BRB,3059500000,11268.4200640121,271511,2,72.3713778829095
2001,BRB,3054500000,11209.4211248688,272494,2,74.0036341611145
2002,BRB,3106500000,11361.5167707179,273423,2,74.6754807692308
2003,BRB,3209500000,11699.3704685216,274331,2,75.5087636748618
2004,BRB,3444500000,12512.5779652212,275283,2,79.9095232571627
2005,BRB,3819500000,13822.7417486972,276320,2,85.2376701629101
2006,BRB,4217500000,15199.5675286062,277475,2,88.8736697924349
2007,BRB,4674000000,16770.6610309974,278701,2,96.3711340206186
2008,BRB,4785000000,17092.5821408414,279946,2,97.972972972973
2009,BRB,4465500000,15885.410181888,281107,2,96.3222605694564
2010,BRB,4530000000,16056.3709766031,282131,2,100
2011,BRB,4657500000,16458.3532105715,282987,2,103.51150127792
2012,BRB,4610000000,16249.6739490585,283698,2,102.924759991069
2013,BRB,4677000000,16451.2793094473,284294,2,105.910326086957
2014,BRB,4696500000,16489.0722373387,284825,2,106.484525563995
2015,BRB,4715000000,16524.899501274,285327,2,104.348788314706
2016,BRB,4830000000,16900.0482858522,285798,2,104.308390022676
2017,BRB,4978000000,17391.6689084614,286229,2,106.996238581408
2018,BRB,5086500000,17745.2553725928,286640,2,109.966490109177
2019,BRB,5209000000,18148.4978451054,287021,2,112.723219538749
2020,BRB,4418000000,15373.8547035017,287371,2,118.002136752137
1995,BLZ,620422500,2997.76045844165,206962,2,99.8764870154409
1996,BLZ,641660000,3003.18262660301,213660,2,101.839922643178
1997,BLZ,654582900,2954.22723682726,221575,2,100.334449237083
1998,BLZ,689140000,2993.0335985546,230248,2,101.822669218464
1999,BLZ,732732350,3066.09513806652,238979,2,99.5263099095073
2000,BLZ,832072450,3364.49173102584,247310,2,100
2001,BLZ,868358750,3404.42058588298,255068,2,99.6936604896484
2002,BLZ,925197950,3526.08151318472,262387,2,101.419609106124
2003,BLZ,983575600,3650.60647000312,269428,2,98.6146236702524
2004,BLZ,1051386600,3802.2631601788,276516,2,100.595004936049
2005,BLZ,1102564900,3885.03407353117,283798,2,103.483155294905
2006,BLZ,1210603750,4155.32388497209,291338,2,108.392854384823
2007,BLZ,1271598050,4252.39540382101,299031,2,113.275199383275
2008,BLZ,1351338650,4404.30819823872,306822,2,116.319254641544
2009,BLZ,1317309450,4186.51999809315,314655,2,113.144077251092
2010,BLZ,1377177100,4270.78008466035,322465,2,114.836966861121
2011,BLZ,1460797903.23406,4423.4968423614,330236,2,119.51711214842
2012,BLZ,1522897506.07849,4505.60059312987,338001,2,121.651755887566
2013,BLZ,1579411253.00514,4568.64122799115,345707,2,124.554335633858
2014,BLZ,1667335060.96064,4718.43658122355,353366,2,126.385071893928
2015,BLZ,1721700991.46912,4770.23265563888,360926,2,127.151950922722
2016,BLZ,1789304087.78561,4856.97324853112,368399,2,132.188540764304
2017,BLZ,1858529676.71857,4945.85769867226,375775,2,134.856849887064
2018,BLZ,1915899786.96407,5001.42215663433,383071,2,135.093765827392
2019,BLZ,1982518540.6134,5078.80994441772,390351,2,137.369632803035
2020,BLZ,1636280797.08056,4115.17700795622,397621,2,131.851796702704
1995,BOL,6715220507.05164,880.992686367672,7622334,4.80034166666667,170.760167345115
1996,BOL,7396966657.47054,950.856386162623,7779268,5.0746125,190.534546379662
1997,BOL,7925673448.41368,998.515953217447,7937453,5.25425833333333,201.404623306271
1998,BOL,8497545598.08352,1049.49937364874,8096761,5.51013333333333,215.605925470088
1999,BOL,8285075872.27307,1003.39223063895,8257066,5.81240833333333,220.805394792293
2000,BOL,8397912509.09679,997.581748874387,8418270,6.18354166666667,232.277135738013
2001,BOL,8141537937.61068,948.870211337892,8580244,6.60691666666667,236.620933721027
2002,BOL,7905485216.17852,904.225799882294,8742822,7.17,243.295438664083
2003,BOL,8082364868.39357,907.537415801528,8905820,7.65916666666667,258.696018377715
2004,BOL,8773451738.91129,967.406458598204,9069044,7.93626666666667,279.308166836235
2005,BOL,9549077869.10651,1034.31180039586,9232301,8.0660625,295.901294033401
2006,BOL,11451869164.7112,1218.87407027713,9395449,8.01161666666667,336.332298138126
2007,BOL,13120183156.7149,1372.62836843372,9558438,7.85124516125,361.131273645197
2008,BOL,16674324634.2373,1715.2083925524,9721457,7.23832069891667,398.620971003665
2009,BOL,17339992165.2422,1754.20946375615,9884790,7.02,388.974758400528
2010,BOL,19649631314.0482,1955.46018156049,10048597,7.01666666666667,423.117052786567
2011,BOL,23963033430.5954,2346.33784403698,10212951,6.9369625,484.902104184802
2012,BOL,27084497482.8616,2609.880562178,10377677,6.91,519.331488565344
2013,BOL,30659338880.3786,2908.2003704458,10542375,6.91,550.467429073797
2014,BOL,32996188012.6821,3081.87882321413,10706517,6.91,561.749245626106
2015,BOL,33000198248.3362,3035.97165489786,10869732,6.91,535.793047092868
2016,BOL,33941126200.0606,3076.65643989367,11031822,6.91,528.53374496317
2017,BOL,37508642165.3366,3351.12434384125,11192853,6.91,560.570289172999
2018,BOL,40287647930.4761,3548.59078021377,11353140,6.91,577.7028078123
2019,BOL,40895322843.7851,3552.06814321502,11513102,6.91,573.699307579663
2020,BOL,36572764862.8234,3133.09980321504,11673029,6.91,562.748196056208
1995,BRA,769333330368.987,4748.38820787605,162019889,0.917666666666667,29.0041275894835
1996,BRA,850426433004.077,5166.16393308148,164614682,1.0051,34.3572000827613
1997,BRA,883206452795.124,5282.04946994988,167209046,1.07799166666667,37.0126761201949
1998,BRA,863711007325.493,5087.07907232375,169785253,1.16051666666667,38.835314125287
1999,BRA,599642075004.471,3479.84383285395,172318674,1.81393284657213,41.9462173038277
