year,reporter_iso,partner_iso,dist,distw,distcap,distwces,cont,lang,ccol,crel,rta
1995,GTM,ARG,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
1996,GTM,ARG,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
1997,GTM,ARG,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
1998,GTM,ARG,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
1999,GTM,ARG,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2000,GTM,ARG,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2001,GTM,ARG,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2002,GTM,ARG,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2003,GTM,ARG,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2004,GTM,ARG,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2005,GTM,ARG,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2006,GTM,ARG,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2007,GTM,ARG,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2008,GTM,ARG,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2009,GTM,ARG,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2010,GTM,ARG,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2011,GTM,ARG,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2012,GTM,ARG,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2013,GTM,ARG,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2014,GTM,ARG,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2015,GTM,ARG,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2016,GTM,ARG,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2017,GTM,ARG,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2018,GTM,ARG,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2019,GTM,ARG,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2020,GTM,ARG,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
1995,GTM,ATG,3080.378,3091.933,3080.378,3090.714,0,0,0,0.117,0
1996,GTM,ATG,3080.378,3091.933,3080.378,3090.714,0,0,0,0.117,0
1997,GTM,ATG,3080.378,3091.933,3080.378,3090.714,0,0,0,0.117,0
1998,GTM,ATG,3080.378,3091.933,3080.378,3090.714,0,0,0,0.117,0
1999,GTM,ATG,3080.378,3091.933,3080.378,3090.714,0,0,0,0.117,0
2000,GTM,ATG,3080.378,3091.933,3080.378,3090.714,0,0,0,0.117,0
2001,GTM,ATG,3080.378,3091.933,3080.378,3090.714,0,0,0,0.117,0
2002,GTM,ATG,3080.378,3091.933,3080.378,3090.714,0,0,0,0.117,0
2003,GTM,ATG,3080.378,3091.933,3080.378,3090.714,0,0,0,0.117,0
2004,GTM,ATG,3080.378,3091.933,3080.378,3090.714,0,0,0,0.117,0
2005,GTM,ATG,3080.378,3091.933,3080.378,3090.714,0,0,0,0.117,0
2006,GTM,ATG,3080.378,3091.933,3080.378,3090.714,0,0,0,0.117,0
2007,GTM,ATG,3080.378,3091.933,3080.378,3090.714,0,0,0,0.117,0
2008,GTM,ATG,3080.378,3091.933,3080.378,3090.714,0,0,0,0.117,0
2009,GTM,ATG,3080.378,3091.933,3080.378,3090.714,0,0,0,0.117,0
2010,GTM,ATG,3080.378,3091.933,3080.378,3090.714,0,0,0,0.117,0
2011,GTM,ATG,3080.378,3091.933,3080.378,3090.714,0,0,0,0.117,0
2012,GTM,ATG,3080.378,3091.933,3080.378,3090.714,0,0,0,0.117,0
2013,GTM,ATG,3080.378,3091.933,3080.378,3090.714,0,0,0,0.117,0
2014,GTM,ATG,3080.378,3091.933,3080.378,3090.714,0,0,0,0.117,0
2015,GTM,ATG,3080.378,3091.933,3080.378,3090.714,0,0,0,0.117,0
2016,GTM,ATG,3080.378,3091.933,3080.378,3090.714,0,0,0,0.117,0
2017,GTM,ATG,3080.378,3091.933,3080.378,3090.714,0,0,0,0.117,0
2018,GTM,ATG,3080.378,3091.933,3080.378,3090.714,0,0,0,0.117,0
2019,GTM,ATG,3080.378,3091.933,3080.378,3090.714,0,0,0,0.117,0
2020,GTM,ATG,3080.378,3091.933,3080.378,3090.714,0,0,0,0.117,0
1995,GTM,BHS,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
1996,GTM,BHS,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
1997,GTM,BHS,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
1998,GTM,BHS,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
1999,GTM,BHS,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
2000,GTM,BHS,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
2001,GTM,BHS,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
2002,GTM,BHS,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
2003,GTM,BHS,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
2004,GTM,BHS,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
2005,GTM,BHS,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
