iso2c,country,year,status,lastupdated,gdp,gdp_pcap,population,exchange,deflator,iso3c,region,capital,longitude,latitude,income,lending
AR,Argentina,1995,,2022-05-25,258031750000,7408.70866363112,34828168,0.99975,3.16512339016516,ARG,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD
AR,Argentina,1996,,2022-05-25,272149750000,7721.35410460355,35246376,0.9996625,-0.0523754965904146,ARG,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD
AR,Argentina,1997,,2022-05-25,292859000000,8213.12512693705,35657438,0.9995,-0.46391313116429,ARG,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD
AR,Argentina,1998,,2022-05-25,298948250000,8289.5075682025,36063451,0.9995,-1.70527962400085,ARG,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD
AR,Argentina,1999,,2022-05-25,283523000000,7774.73620280001,36467218,0.9995,-1.83655839220664,ARG,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD
AR,Argentina,2000,,2022-05-25,284203750000,7708.09911454041,36870796,0.9995,1.03728710073175,ARG,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD
AR,Argentina,2001,,2022-05-25,268696750000,7208.37311355372,37275644,0.9995,-1.09576771833679,ARG,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD
AR,Argentina,2002,,2022-05-25,97724004251.8602,2593.404563368,37681743,3.06325666666667,30.555204053903,ARG,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD
AR,Argentina,2003,,2022-05-25,127586973492.177,3349.80630031036,38087866,2.90062916666667,10.4957030215496,ARG,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD
AR,Argentina,2004,,2022-05-25,164657930452.787,4277.72157290954,38491970,2.92330081890332,18.3633542492033,ARG,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD
AR,Argentina,2005,,2022-05-25,198737095012.282,5109.85224490403,38892924,2.9036575,10.3175111982406,ARG,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD
AR,Argentina,2006,,2022-05-25,232557260817.308,5919.01233837714,39289876,3.05431333333333,13.7410524859152,ARG,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD
AR,Argentina,2007,,2022-05-25,287530508430.568,7245.44685667197,39684303,3.09564884920635,14.9399250245835,ARG,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD
AR,Argentina,2008,,2022-05-25,361558037110.419,9020.87332314274,40080159,3.14416455988456,23.1711649813124,ARG,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD
AR,Argentina,2009,,2022-05-25,332976484577.619,8225.13758261645,40482786,3.71010683052328,15.3776493708921,ARG,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD
AR,Argentina,2010,,2022-05-25,423627422092.49,10385.9644319555,40788453,3.8962951544705,20.915124272047,ARG,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD
AR,Argentina,2011,,2022-05-25,530163281574.658,12848.8641969705,41261490,4.11013957621326,23.7034721839593,ARG,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD
AR,Argentina,2012,,2022-05-25,545982375701.128,13082.664325572,41733271,4.53693436018746,22.3148806733049,ARG,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD
AR,Argentina,2013,,2022-05-25,552025140252.246,13080.2547323367,42202935,5.45935266465704,23.9487984162746,ARG,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD
AR,Argentina,2014,,2022-05-25,526319673731.638,12334.7982453893,42669500,8.07527599281334,40.2829716315506,ARG,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD
AR,Argentina,2015,,2022-05-25,594749285413.212,13789.060424772,43131966,9.23318552472429,26.5799916024707,ARG,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD
AR,Argentina,2016,,2022-05-25,557531376217.967,12790.2424732447,43590368,14.7581750873396,41.1193799882279,ARG,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD
AR,Argentina,2017,,2022-05-25,643628665302.155,14613.041824658,44044811,16.5627069251411,26.0063792819079,ARG,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD
