year,reporter_iso,partner_iso,trade_value,dist,distw,distcap,distwces,cont,lang,ccol,crel,rta
1995,GTM,ARG,841266,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
1996,GTM,ARG,1005883,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
1997,GTM,ARG,412233,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
1998,GTM,ARG,2148047,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
1999,GTM,ARG,1487901,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2000,GTM,ARG,480945,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2001,GTM,ARG,527646,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2002,GTM,ARG,211404,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2003,GTM,ARG,95779,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2004,GTM,ARG,1236309,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2005,GTM,ARG,1902379,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2006,GTM,ARG,1837228,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2007,GTM,ARG,4094439,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2008,GTM,ARG,4571393,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2009,GTM,ARG,3082904,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2010,GTM,ARG,4204360,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2011,GTM,ARG,8763960,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2012,GTM,ARG,4902777,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2013,GTM,ARG,5718794,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2014,GTM,ARG,3100304,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2015,GTM,ARG,7456760,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2016,GTM,ARG,4699216,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2017,GTM,ARG,3055183,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2018,GTM,ARG,3889532,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2019,GTM,ARG,2659268,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
2020,GTM,ARG,1798194,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0
1995,GTM,BHS,217830,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
1996,GTM,BHS,95834,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
1997,GTM,BHS,106648,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
1998,GTM,BHS,91523,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
1999,GTM,BHS,49356,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
2000,GTM,BHS,203365,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
2001,GTM,BHS,210270,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
2002,GTM,BHS,415464,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
2003,GTM,BHS,41411,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
2004,GTM,BHS,1606428,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
2005,GTM,BHS,1224591,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
2006,GTM,BHS,230063,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
2007,GTM,BHS,943918,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
2008,GTM,BHS,1591905,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
2009,GTM,BHS,1041929,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
2010,GTM,BHS,875866,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
2011,GTM,BHS,974164,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
2012,GTM,BHS,4209327,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
2013,GTM,BHS,968813,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
2014,GTM,BHS,3039483,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
2015,GTM,BHS,5042867,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
2016,GTM,BHS,6844315,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
2017,GTM,BHS,7784543,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
2018,GTM,BHS,8752929,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
2019,GTM,BHS,6064715,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
2020,GTM,BHS,5054382,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0
1995,GTM,BLZ,3912380,341.203,397.851,341.203,382.899,1,1,0,0.634,0
1996,GTM,BLZ,6292165,341.203,397.851,341.203,382.899,1,1,0,0.634,0
1997,GTM,BLZ,6877385,341.203,397.851,341.203,382.899,1,1,0,0.634,0
1998,GTM,BLZ,7187896,341.203,397.851,341.203,382.899,1,1,0,0.634,0
1999,GTM,BLZ,10863830,341.203,397.851,341.203,382.899,1,1,0,0.634,0
2000,GTM,BLZ,12977383,341.203,397.851,341.203,382.899,1,1,0,0.634,0
2001,GTM,BLZ,13763489,341.203,397.851,341.203,382.899,1,1,0,0.634,0
2002,GTM,BLZ,19493980,341.203,397.851,341.203,382.899,1,1,0,0.634,0
2003,GTM,BLZ,29497772,341.203,397.851,341.203,382.899,1,1,0,0.634,0
2004,GTM,BLZ,35096523,341.203,397.851,341.203,382.899,1,1,0,0.634,0
2005,GTM,BLZ,39046389,341.203,397.851,341.203,382.899,1,1,0,0.634,0
2006,GTM,BLZ,37815018,341.203,397.851,341.203,382.899,1,1,0,0.634,0
2007,GTM,BLZ,50899777,341.203,397.851,341.203,382.899,1,1,0,0.634,0
2008,GTM,BLZ,57920518,341.203,397.851,341.203,382.899,1,1,0,0.634,0
2009,GTM,BLZ,48130387,341.203,397.851,341.203,382.899,1,1,0,0.634,0
2010,GTM,BLZ,48080201,341.203,397.851,341.203,382.899,1,1,0,0.634,0
2011,GTM,BLZ,50337165,341.203,397.851,341.203,382.899,1,1,0,0.634,0
2012,GTM,BLZ,53857072,341.203,397.851,341.203,382.899,1,1,0,0.634,0
2013,GTM,BLZ,65675991,341.203,397.851,341.203,382.899,1,1,0,0.634,0
2014,GTM,BLZ,91168033,341.203,397.851,341.203,382.899,1,1,0,0.634,0
2015,GTM,BLZ,85532830,341.203,397.851,341.203,382.899,1,1,0,0.634,0
2016,GTM,BLZ,70893600,341.203,397.851,341.203,382.899,1,1,0,0.634,0
2017,GTM,BLZ,71823005,341.203,397.851,341.203,382.899,1,1,0,0.634,0
2018,GTM,BLZ,87721228,341.203,397.851,341.203,382.899,1,1,0,0.634,0
2019,GTM,BLZ,102592424,341.203,397.851,341.203,382.899,1,1,0,0.634,0
2020,GTM,BLZ,78761758,341.203,397.851,341.203,382.899,1,1,0,0.634,0
1995,GTM,BOL,17859,4247.32,4496.198,4663.383,4483.413,0,1,0,0.871,0
1996,GTM,BOL,290535,4247.32,4496.198,4663.383,4483.413,0,1,0,0.871,0
1997,GTM,BOL,1042432,4247.32,4496.198,4663.383,4483.413,0,1,0,0.871,0
1998,GTM,BOL,129271,4247.32,4496.198,4663.383,4483.413,0,1,0,0.871,0
