year,iso_i,iso_j,exports,imports,tgdp,rfe,sim,dist,cont,lang,ccol,crel,rta
1995,GTM,ARG,841266,21462657,26.331591020566645,1.6487071429527838,0.10171185884454315,6446.824,0,1,1,0.862,0
1996,GTM,ARG,1005883,28511112,26.38561705379456,1.6468205195927847,0.10298765137891208,6446.824,0,1,1,0.862,0
1997,GTM,ARG,412233,32870882,26.46192957880325,1.6055634847593012,0.10797548557883152,6446.824,0,1,1,0.862,0
1998,GTM,ARG,2148047,45509492,26.486397585584676,1.5520377344608525,0.11442849285190171,6446.824,0,1,1,0.862,0
1999,GTM,ARG,1487901,26406608,26.43316759139938,1.5687554400686636,0.11401145060446649,6446.824,0,1,1,0.862,0
2000,GTM,ARG,480945,30714060,26.43862298968033,1.532867620444235,0.11903357416761318,6446.824,0,1,1,0.862,0
2001,GTM,ARG,527646,49172073,26.38310322952956,1.5367558849631537,0.11999433548586569,6446.824,0,1,1,0.862,0
2002,GTM,ARG,211404,28154913,25.495374956869416,0.4323968681002599,0.2861542378850255,6446.824,0,1,1,0.862,0
2003,GTM,ARG,95779,30240195,25.728307685459136,0.6562369540925905,0.24745158096478126,6446.824,0,1,1,0.862,0
2004,GTM,ARG,1236309,45122069,25.960958170287388,0.8333289057619782,0.21913144748818936,6446.824,0,1,1,0.862,0
2005,GTM,ARG,1902379,137533555,26.141677515777992,0.9043467198192339,0.20931694346623386,6446.824,0,1,1,0.862,0
2006,GTM,ARG,1837228,206695341,26.292760933972342,0.966755961892626,0.2010771268548024,6446.824,0,1,1,0.862,0
2007,GTM,ARG,4094439,214724917,26.495013382760316,1.067789732503937,0.18722397890896514,6446.824,0,1,1,0.862,0
2008,GTM,ARG,4571393,142076733,26.714885121934635,1.1690428471797665,0.173963417535411,6446.824,0,1,1,0.862,0
2009,GTM,ARG,3082904,129492514,26.6370456370914,1.1319499121412555,0.18049999364168756,6446.824,0,1,1,0.862,0
2010,GTM,ARG,4204360,114668445,26.863805032866292,1.292242926949302,0.15986461075551017,6446.824,0,1,1,0.862,0
